artist,nonmale,non-cis,race,ethnicity,primary status,REPS,gender,corpora,source,comments
Oak Ridge Boys,0,0,0,0,0,0,0,MBB,https://www.oakridgeboys.com/about/,
Oliver,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Oliver_(singer),
Paper Lace,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Paper_Lace,English
Patrick Hernandez,0,0,0,0,0,0,0,MBB,https://www.discogs.com/artist/76656-Patrick-Hernandez,French. Spanish father and Italian mother.
Paul McCartney & Wings,1,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Paul_McCartney_and_Wings,
Paul Revere & The Raiders,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Paul_Revere_%26_the_Raiders,
Peggy Lee,1,0,0,0,1,0,1,MBB,https://www.nndb.com/people/750/000026672/,
Psychedelic Furs,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Psychedelic_Furs,
Pure Prairie League,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Pure_Prairie_League,
Quarterflash,1,0,0,0,1,0,1,MBB,https://www.quarterflash.net/about.html,
Queensryche,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Queensrÿche,
R Dean Tayloy,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/R._Dean_Taylor,Canadian
Randy Vanwarmer,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/276/000028192/,
Rare Earth,0,0,0,0,0,0,0,MBB,https://www.loudersound.com/features/cult-heroes-rare-earth-motowns-funkiest-white-band,
Ray Price,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/395/000105080/,
Robert John,0,0,0,0,0,0,0,MBB,https://www.discogs.com/artist/261836-Robert-John,
Rock And Hyde,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Payolas,
Roger Miller,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/255/000109925/,
Ronnie Milsap,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/447/000024375/,
Roxy,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Roxy_Music,English
Roy Drusky,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Roy_Drusky,
Roy Head,0,0,0,0,0,0,0,MBB,"https://www.discogs.com/artist/Roy+Head, https://www.liveabout.com/soul-artists-everyone-thought-were-black-2523517",
Sagittarius,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Sagittarius_(band),
Sammy Hagar,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/336/000024264/,
Don Gibson,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Don_Gibson,
Soft Cell,0,0,0,0,0,0,0,MBB,https://www.softcell.co.uk/soft-cell-biography/,English
Sonny & Cher,1,0,0,0,1,0,1,MBB,https://en.wikipedia.org/wiki/Sonny_&_Cher,
Steve Winwood,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/901/000024829/,
Stray Cats,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Stray_Cats,
Swingin' Medallions,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Swingin'_Medallions,
Tanya Tucker,1,0,0,0,1,0,1,MBB,https://www.nndb.com/people/345/000025270/,
The Allan Parsons Project,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Alan_Parsons_Project,English
The Amboy Dukes,0,0,0,0,0,0,0,MBB,https://rock-temple.net/international-scene/bands-artists/57-amboy-dukes.html,
The Babys,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Babys,
The Box Tops,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Box_Tops,
The Buckinghams,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Buckinghams,
The Castaways,0,0,0,0,0,0,0,MBB,http://unidisc.com/artist/the-castaways/,
The Cowsills,1,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Cowsills,
The Fabulous Thunderbirds,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Fabulous_Thunderbirds,
The Fireballs,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Fireballs,
The Greatful Dead,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Grateful_Dead,
The Kendalls,1,0,0,0,1,0,1,MBB,https://www.allmusic.com/artist/the-kendalls-mn0000770853/biography,
The Las,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_La%27s,English
The Music Explosion,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Music_Explosion,
The Music Machine,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Music_Machine,
The Osmonds,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Osmonds,
The Rascals,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Rascals,Cavaliere and Danelli were both Italian American
The Rembrandts,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Rembrandts,
The Sopwith Camel,0,0,0,0,0,0,0,MBB,https://www.rollingstone.com/music/music-news/sopwith-camel-where-are-they-now-93996/,
The String-A-Longs,0,0,0,0,0,0,0,MBB,https://www.discogs.com/artist/309141-The-String-A-Longs,
The tee set,0,0,0,0,0,0,0,MBB,https://www.discogs.com/artist/282872-Tee-Set,Dutch
The Youngbloods,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Youngbloods,
Todd Rundgren,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/905/000024833/,
Tom T. Hall,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/673/000026595/,
Tommy James,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/396/000118042/,
Wang Chung,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Wang_Chung_(band),
Waylon Jennings,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/087/000044952/,
Wednesday,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Wednesday_(band),
Wild Cherry,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Wild_Cherry_(band),
Willie Nelson,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/636/000022570/,
Wilson Phillips,1,0,0,0,1,0,1,MBB,https://en.wikipedia.org/wiki/Wilson_Phillips,
Yaz,1,0,0,0,1,0,1,MBB,https://en.wikipedia.org/wiki/Yazoo_(band),English
Alice Cooper,0,0,0,0,0,0,0,MBB + UG,https://en.wikipedia.org/wiki/Alice_Cooper,
Anne Murray,1,0,0,0,1,0,1,MBB + UG,https://en.wikipedia.org/wiki/Anne_Murray,Canadian
